Ref,Val,Package,PosX,PosY,Rot,Side
"J1","SIM_JACKET","molex78646-3001",-4.060000,-0.183500,-90.000000,bottom
"C1","27pF","C_0402_1005Metric",-7.940000,6.326500,180.000000,top
"C2","27pF","C_0402_1005Metric",-8.330000,1.736500,0.000000,top
"C3","0.1uF","C_0402_1005Metric",-8.400000,-1.333500,180.000000,top
"C4","0.1uF","C_0402_1005Metric",-7.960000,-2.803500,-90.000000,top
"C5","0.1uF","C_0402_1005Metric",-9.960000,6.736500,180.000000,top
"C6","0.1uF","C_0402_1005Metric",0.890000,7.086500,180.000000,top
"C7","0.1uF","C_0402_1005Metric",-5.050000,3.246500,90.000000,top
"C8","0.1uF","C_0402_1005Metric",0.890000,6.136500,180.000000,top
"C9","4.7uF","C_0402_1005Metric",0.250000,-4.373500,-90.000000,top
"C10","0.01uF","C_0402_1005Metric",2.340000,6.606500,90.000000,top
"C11","4.7uF","C_0402_1005Metric",3.980000,5.476500,90.000000,top
"D1","DUAL_LED","KPHBM-2012SURKCGKC",-10.880000,-0.743500,-90.000000,top
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",1.835000,-6.778500,0.000000,top
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",-11.165000,5.146500,0.000000,top
"J2","USB_A","USB-A-PLUG",15.250000,-0.393500,0.000000,top
"R1","510","R_0402_1005Metric",-7.410000,-5.313500,0.000000,top
"R2","510","R_0402_1005Metric",-7.410000,-6.333500,0.000000,top
"R3","10k","R_0402_1005Metric",-2.416000,-5.403500,180.000000,top
"R4","10k","R_0402_1005Metric",-4.040000,3.246500,90.000000,top
"R5","22","R_0402_1005Metric",1.440000,-2.833500,90.000000,top
"R6","22","R_0402_1005Metric",0.300000,-1.773500,90.000000,top
"R7","1.5k","R_0402_1005Metric",0.310000,0.176500,-90.000000,top
"R8","20k","R_0402_1005Metric",-3.620000,5.566500,0.000000,top
"U1","STM32F103RBHx","TFBGA-64_5x5mm_Layout8x8_P0.5mm",-3.915000,-1.253500,0.000000,top
"U2","CAT6217-330","TSOT-23-5",1.670000,3.466500,90.000000,top
"U3","DF5A5.6JE","SOT-553",1.970000,-0.603500,-90.000000,top
"X1","12MHz","ABM8G",-8.030180,3.995600,180.000000,top
